Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
G1,10/09/16,Kerkyra,Platanias,0,1,A,0,1,A,2.4,3,3.2,,,,2.45,2.9,3.05,2.4,2.9,3.1,2.54,3.1,3.25,2.45,2.88,3,2.4,3,3.1,48,2.55,2.44,3.1,2.93,3.25,3.01,37,2.63,2.57,1.5,1.46,23,-0.25,2.16,2.08,1.82,1.74,3.04,2.77,2.99
G1,10/09/16,Levadeiakos,Panathinaikos,0,3,A,0,2,A,6.5,3.4,1.62,5.25,3.75,1.6,5.5,3.6,1.6,5.75,3.6,1.62,6.43,3.84,1.63,5,3.5,1.65,5.75,3.6,1.6,49,6.5,5.58,3.84,3.56,1.65,1.61,37,2.3,2.18,1.68,1.63,26,0.75,2.09,2,1.88,1.81,10.53,4.48,1.41
G1,10/09/16,Panionios,Asteras Tripolis,3,0,H,1,0,H,2.5,3,3,2.55,2.95,2.85,2.6,2.9,2.85,2.62,3,2.8,2.76,3.13,2.93,2.6,2.88,2.8,2.55,3,2.8,49,2.76,2.58,3.13,2.94,3,2.82,37,2.63,2.49,1.51,1.49,28,0,1.91,1.82,2.05,1.98,3.19,2.84,2.78
G1,11/09/16,AEK,Xanthi,4,1,H,3,1,H,1.36,4.33,9.5,1.4,4,9,1.4,4.1,8.75,1.4,4,9.5,1.43,4.31,10.94,1.36,4,9.5,1.36,4.2,9,46,1.42,1.38,4.33,4.09,10.94,9.02,36,2.33,2.19,1.65,1.62,22,-1.25,2.07,1.98,1.9,1.84,1.4,4.53,10.95
G1,11/09/16,Giannina,Atromitos,3,0,H,2,0,H,2.4,3,3.2,2.3,2.9,3.3,2.35,2.9,3.2,2.38,3,3.25,2.44,3.11,3.4,2.38,2.88,3.1,2.3,3,3.2,49,2.47,2.35,3.11,2.93,3.4,3.15,38,2.71,2.57,1.5,1.46,26,-0.25,2.08,2.01,1.87,1.81,2.65,2.87,3.33
G1,11/09/16,Olympiakos,Veria,6,1,H,3,0,H,1.13,8,19,1.14,6.75,18,1.12,7.25,19.5,1.13,8,21,,,,1.1,7.5,21,1.1,8,22,42,1.15,1.11,8.05,7.46,29,19.93,33,1.53,1.49,2.64,2.49,26,-2.25,1.96,1.9,1.98,1.91,1.09,12.2,37
G1,11/09/16,PAOK,Panetolikos,2,1,H,2,0,H,1.3,5,11,1.28,4.75,11,1.3,4.7,9.25,1.33,4.75,10,1.34,5.14,11.71,1.33,4.4,9,1.3,4.75,10,48,1.34,1.3,5.14,4.7,11.71,9.81,41,1.95,1.87,1.95,1.87,28,-1.5,2.08,2,1.87,1.81,1.29,5.59,14.13
G1,12/09/16,Larisa,Iraklis,2,2,D,1,1,D,1.75,3.25,5.25,1.75,3.25,5,1.75,3.25,4.95,1.75,3.25,5.25,1.81,3.41,5.6,1.8,3.1,4.75,1.75,3.25,5,44,1.81,1.76,3.45,3.25,5.6,4.88,33,2.55,2.44,1.57,1.5,22,-0.75,2.1,2.03,1.86,1.79,1.68,3.53,6.94
G1,17/09/16,Platanias,Levadeiakos,3,2,H,3,1,H,1.8,3.3,4.2,1.91,3.1,4.2,1.8,3.2,4.7,1.83,3.2,4.75,1.88,3.35,5.16,1.83,3,4.75,1.8,3.13,4.8,53,1.91,1.82,3.35,3.18,5.16,4.54,37,2.76,2.58,1.55,1.45,25,-0.5,1.9,1.82,2.06,1.97,1.64,3.65,7.09
G1,17/09/16,Veria,AEK,0,2,A,0,1,A,6.5,4,1.44,6.75,3.8,1.5,6.75,3.9,1.5,7,3.8,1.5,8.01,4.06,1.53,7,3.6,1.5,7,3.75,1.5,51,8.01,6.76,4.25,3.85,1.53,1.48,36,2.31,2.15,1.75,1.64,26,1,2,1.91,2,1.89,13.03,5.41,1.31
G1,17/09/16,Xanthi,Panionios,0,2,A,0,2,A,2.38,3.2,2.8,2.3,3.2,3,2.45,3,2.95,2.5,3,3,2.59,3.11,3.16,2.5,2.8,3,2.5,3,2.9,53,2.59,2.44,3.25,3,3.16,2.91,37,2.77,2.56,1.55,1.46,25,0,1.82,1.76,2.16,2.06,2.22,3.05,4.05
G1,18/09/16,Atromitos,Panetolikos,0,2,A,0,1,A,1.91,3.3,3.8,1.9,3.3,4,1.95,3.15,4.1,1.95,3.1,4.2,2.02,3.3,4.43,2,2.9,4,1.93,3.1,4.2,53,2.02,1.94,3.3,3.15,4.43,3.98,37,2.8,2.57,1.57,1.46,25,-0.5,2.02,1.95,1.92,1.84,1.62,3.99,6.33
G1,18/09/16,Iraklis,Olympiakos,1,2,A,1,0,H,13,5.75,1.18,12,5.5,1.22,13.5,5.5,1.2,13,5.75,1.22,15.84,6.13,1.25,13,5.5,1.2,15,5.75,1.2,48,17,12.94,6.2,5.57,1.3,1.21,36,1.88,1.76,2.05,1.97,25,1.75,1.97,1.88,2.15,1.91,18.2,7.15,1.2
G1,18/09/16,Kerkyra,Larisa,2,0,H,2,0,H,2.15,3.1,3.25,2.2,3.1,3.25,,,,2.3,3,3.3,2.42,3.17,3.37,2.3,2.88,3.25,2.3,2.9,3.3,51,2.43,2.27,3.17,3,3.42,3.21,35,2.82,2.62,1.51,1.44,25,-0.25,2.05,1.96,1.9,1.84,2.41,2.98,3.64
G1,18/09/16,Panathinaikos,Giannina,4,0,H,1,0,H,1.18,6,12,1.25,5.5,10.5,1.22,5.5,12.25,1.22,5.75,13,1.26,6.15,14.8,1.22,5,13,1.2,6,13,53,1.26,1.22,6.15,5.56,14.8,12.12,36,1.81,1.71,2.1,2.04,24,1.75,2.02,1.95,1.92,1.85,1.2,6.95,19.5
G1,19/09/16,Asteras Tripolis,PAOK,1,2,A,0,2,A,3.5,3.3,2,3.8,3.3,1.95,3.65,3.25,2,3.6,3.25,2.05,3.93,3.37,2.11,3.6,3.2,2,3.7,3.13,2.05,51,3.93,3.58,3.38,3.21,2.13,2.03,34,2.48,2.26,1.7,1.57,23,0.25,2.13,2.04,1.85,1.76,3.33,3.16,2.45
G1,24/09/16,Giannina,Platanias,0,0,D,0,0,D,2.25,3.25,3.2,2.15,3,3.5,2.25,3,3.4,2.3,2.9,3.4,2.34,3.08,3.64,2.15,3,3.4,2.3,3,3.25,54,2.37,2.23,3.25,2.99,3.64,3.33,36,2.74,2.55,1.5,1.47,23,-0.25,2.02,1.93,1.92,1.86,2.33,3.07,3.7
G1,24/09/16,Panetolikos,Panathinaikos,0,0,D,0,0,D,6,4,1.53,5.75,4.1,1.53,5.5,3.85,1.55,5.75,3.8,1.57,6.21,4.07,1.59,5,3.75,1.6,5.75,3.9,1.53,51,7.5,5.75,4.2,3.87,1.6,1.54,39,2,1.9,1.93,1.85,26,1,1.9,1.84,2.07,1.97,6.95,4.16,1.56
G1,24/09/16,Panionios,Veria,1,2,A,0,2,A,1.5,3.75,7.5,1.53,3.9,6.25,1.5,3.85,6.25,1.5,3.8,7,1.52,4.19,7.9,1.57,3.5,6,1.5,3.9,6.5,51,1.57,1.5,4.19,3.83,7.9,6.43,39,2.13,2.01,1.83,1.75,27,-1,1.97,1.88,2,1.92,1.38,4.68,11.18
G1,25/09/16,Atromitos,Asteras Tripolis,1,0,H,1,0,H,2.38,3.2,3,2.45,3,3,2.4,3,3.05,2.5,2.9,3.1,2.55,3.06,3.26,2.45,2.88,3,2.4,3,3,54,2.55,2.41,3.2,2.97,3.26,3.01,35,2.67,2.5,1.53,1.48,26,0,1.77,1.71,2.21,2.13,2.59,2.95,3.33
G1,25/09/16,Larisa,Olympiakos,1,0,H,0,0,D,10,5.25,1.29,10,5,1.3,9.75,5,1.3,10,5.25,1.3,12.29,5.75,1.3,11,5,1.25,10.5,5.2,1.25,54,12.29,10.11,5.75,5.07,1.31,1.27,35,1.78,1.7,2.13,2.05,24,1.75,1.74,1.7,2.28,2.16,10.72,5.15,1.36
G1,25/09/16,Levadeiakos,Kerkyra,2,1,H,2,0,H,2.1,3.1,3.75,2.15,3.1,3.6,,,,2.05,3,3.8,2.12,3.24,4.07,2.15,2.9,3.6,2,3.1,3.9,50,2.15,2.05,3.25,3.04,4.07,3.73,33,2.63,2.51,1.53,1.47,25,-0.5,2.13,2.05,1.83,1.77,1.96,3.18,4.98
G1,25/09/16,PAOK,Xanthi,0,0,D,0,0,D,1.4,4.75,7,1.28,5,11,1.35,4.5,8.25,1.36,4.5,8.5,1.4,4.84,9.54,1.29,4.8,9.5,1.3,4.75,10,52,1.4,1.34,5,4.53,11,8.7,33,1.97,1.84,2,1.87,22,-1.5,2.19,2.07,1.82,1.74,1.32,5.45,12
G1,26/09/16,AEK,Iraklis,0,0,D,0,0,D,1.17,7.5,13,1.18,6.5,14.5,1.18,6,14,1.2,6,15,1.21,7.04,17.4,,,,1.17,6.5,15,51,1.21,1.17,7.5,6.22,17.4,14.53,33,1.71,1.64,2.25,2.13,28,-2,2.14,2.04,1.83,1.77,1.17,8.2,21
G1,01/10/16,Iraklis,Panionios,1,2,A,0,1,A,2.8,3.2,2.55,2.65,3.1,2.65,2.7,3.1,2.6,2.9,3,2.6,,,,2.6,3.1,2.6,2.88,2.9,2.55,44,2.9,2.72,3.2,3.04,2.66,2.56,30,2.55,2.46,1.8,1.5,21,0,2.06,1.97,1.86,1.82,3.94,3.14,2.21
G1,01/10/16,Kerkyra,Giannina,0,1,A,0,0,D,2.3,3.1,3.2,2.35,3.1,3,,,,2.3,3,3.3,,,,2.3,3.1,3,2.3,3,3.2,42,2.4,2.32,3.15,3.03,3.3,3.09,34,2.63,2.53,1.5,1.46,19,-0.25,2.04,1.98,1.88,1.83,2.17,3.09,4.14
G1,01/10/16,Levadeiakos,Larisa,1,1,D,0,0,D,2.2,3.1,3.5,2.1,3.1,3.6,2.15,3.05,3.45,2.25,3.1,3.3,,,,2.3,3.1,3,2.25,3.2,3.2,43,2.3,2.16,3.2,3.07,3.6,3.39,30,2.4,2.27,1.62,1.58,19,-0.25,1.99,1.91,1.93,1.9,2.62,2.94,3.29
G1,02/10/16,Olympiakos,AEK,3,0,H,1,0,H,1.75,3.4,5,1.8,3.3,4.6,1.7,3.4,4.95,1.73,3.5,5,,,,1.83,3.25,4.33,1.73,3.4,4.8,43,1.83,1.76,3.52,3.32,5.16,4.65,36,2.3,2.2,1.65,1.61,18,-0.75,2.05,1.95,1.92,1.86,1.64,3.75,6.68
G1,02/10/16,Panathinaikos,Asteras Tripolis,3,1,H,2,0,H,1.36,4.6,8.5,1.4,4.4,7,1.35,4.6,8,1.35,4.75,9,,,,1.4,4.2,7.5,1.33,4.6,9,44,1.5,1.36,4.82,4.44,9.5,7.86,40,1.84,1.76,2.2,1.99,19,-1.25,1.85,1.81,2.08,1.99,1.31,5.51,12.3
G1,02/10/16,Platanias,Panetolikos,0,0,D,0,0,D,1.83,3.25,4.75,1.87,3.2,4.33,1.85,3.15,4.5,1.83,3.2,4.75,,,,1.95,3.2,3.8,1.8,3.2,4.75,44,1.95,1.85,3.26,3.14,4.83,4.39,36,2.63,2.54,1.5,1.47,18,-0.5,1.9,1.84,2.05,1.95,1.59,4.01,6.81
G1,02/10/16,Veria,PAOK,0,0,D,0,0,D,9.5,5.25,1.3,8.5,5.25,1.3,9,5.25,1.3,9.5,5,1.3,,,,8,5,1.3,10,5.2,1.29,42,10,8.99,5.5,5.07,1.31,1.29,35,1.67,1.63,2.25,2.16,21,1.5,2,1.93,1.93,1.87,20.31,9.36,1.14
G1,03/10/16,Xanthi,Atromitos,,,,,,,2.3,3,3.1,2.3,3,3.25,2.3,3,3.15,2.38,3,3.25,,,,2.3,3,3.1,2.3,3,3.2,43,2.38,2.31,3.11,2.98,3.25,3.13,28,2.63,2.55,1.5,1.46,8,0,1.66,1.63,2.29,2.19,,,
